1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
283131.23	intrusion detection interfaces to fire alarm	283131.23	intrusion detection interfaces to fire alarm	Electronic Safety & Security	28 00 00
283131.25	intrusion detection interfaces to temperature controls	283131.25	intrusion detection interfaces to temperature controls	Electronic Safety & Security	28 00 00
283300	security monitoring and control	283300	security monitoring and control	Electronic Safety & Security	28 00 00
283311	electronic structural monitoring systems	283311	electronic structural monitoring systems	Electronic Safety & Security	28 00 00
283313	security operations and monitoring center	283313	security operations and monitoring center	Electronic Safety & Security	28 00 00
283315	security monitoring and control software	283315	security monitoring and control software	Electronic Safety & Security	28 00 00
283317	security monitoring and control services	283317	security monitoring and control services	Electronic Safety & Security	28 00 00
283500	tracking systems	283500	tracking systems	Electronic Safety & Security	28 00 00
283511	asset tracking systems	283511	asset tracking systems	Electronic Safety & Security	28 00 00
283511.11	rf asset tracking systems	283511.11	rf asset tracking systems	Electronic Safety & Security	28 00 00
283511.13	gps asset tracking systems	283511.13	gps asset tracking systems	Electronic Safety & Security	28 00 00
283511.15	cellular asset tracking systems	283511.15	cellular asset tracking systems	Electronic Safety & Security	28 00 00
283513	personnel tracking systems	283513	personnel tracking systems	Electronic Safety & Security	28 00 00
283513.11	rf personnel tracking systems	283513.11	rf personnel tracking systems	Electronic Safety & Security	28 00 00
283513.13	gps personnel tracking systems	283513.13	gps personnel tracking systems	Electronic Safety & Security	28 00 00
283513.15	cellular personnel tracking systems	283513.15	cellular personnel tracking systems	Electronic Safety & Security	28 00 00
283517	34 11 23 trackwork, special	283517	34 11 23 trackwork, special	Electronic Safety & Security	28 00 00
283700	audio monitoring	283700	audio monitoring	Electronic Safety & Security	28 00 00
283711	audio monitoring devices	283711	audio monitoring devices	Electronic Safety & Security	28 00 00
283713	gunshot detection systems	283713	gunshot detection systems	Electronic Safety & Security	28 00 00
284000	life safety	284000	life safety	Electronic Safety & Security	28 00 00
284100	radiation detection and alarm	284100	radiation detection and alarm	Electronic Safety & Security	28 00 00
284111	radiation detection and alarm control, gui, and logic systems	284111	radiation detection and alarm control, gui, and logic systems	Electronic Safety & Security	28 00 00
284113	radiation detection and alarm integrated audio evacuation systems	284113	radiation detection and alarm integrated audio evacuation systems	Electronic Safety & Security	28 00 00
284115	radiation detection sensors	284115	radiation detection sensors	Electronic Safety & Security	28 00 00
284117	radiation dosimeters	284117	radiation dosimeters	Electronic Safety & Security	28 00 00
284200	gas detection and alarm	284200	gas detection and alarm	Electronic Safety & Security	28 00 00
284211	gas detection and alarm control, gui, and logic systems	284211	gas detection and alarm control, gui, and logic systems	Electronic Safety & Security	28 00 00
284213	gas detection and alarm integrated audio evacuation systems	284213	gas detection and alarm integrated audio evacuation systems	Electronic Safety & Security	28 00 00
284215	gas detection sensors	284215	gas detection sensors	Electronic Safety & Security	28 00 00
284300	fuel oil detection and alarm	284300	fuel oil detection and alarm	Electronic Safety & Security	28 00 00
284311	fuel oil detection and alarm control, gui, and logic systems	284311	fuel oil detection and alarm control, gui, and logic systems	Electronic Safety & Security	28 00 00
284313	fuel oil detection and alarm integrated audio evacuation systems	284313	fuel oil detection and alarm integrated audio evacuation systems	Electronic Safety & Security	28 00 00
284315	fuel oil detection sensors	284315	fuel oil detection sensors	Electronic Safety & Security	28 00 00
284400	refrigerant detection and alarm	284400	refrigerant detection and alarm	Electronic Safety & Security	28 00 00
284411	refrigerant detection and alarm control, gui, and logic systems	284411	refrigerant detection and alarm control, gui, and logic systems	Electronic Safety & Security	28 00 00
284413	refrigerant detection and alarm integrated audio evacuation systems	284413	refrigerant detection and alarm integrated audio evacuation systems	Electronic Safety & Security	28 00 00
284415	refrigerant detection sensors	284415	refrigerant detection sensors	Electronic Safety & Security	28 00 00
284500	water detection and alarm	284500	water detection and alarm	Electronic Safety & Security	28 00 00
284511	water detection and alarm control, gui, and logic systems	284511	water detection and alarm control, gui, and logic systems	Electronic Safety & Security	28 00 00
284513	water detection sensors	284513	water detection sensors	Electronic Safety & Security	28 00 00
284515	building envelope water detection and alarm	284515	building envelope water detection and alarm	Electronic Safety & Security	28 00 00
284600	fire detection and alarm	284600	fire detection and alarm	Electronic Safety & Security	28 00 00
284610	detection and initiation	284610	detection and initiation	Electronic Safety & Security	28 00 00
284611	fire sensors and detectors	284611	fire sensors and detectors	Electronic Safety & Security	28 00 00
284611.11	linear heat detection sensors	284611.11	linear heat detection sensors	Electronic Safety & Security	28 00 00
284611.13	spot-type heat detection sensors	284611.13	spot-type heat detection sensors	Electronic Safety & Security	28 00 00
284611.15	duct smoke detection sensors	284611.15	duct smoke detection sensors	Electronic Safety & Security	28 00 00
284611.17	beam smoke detection sensors	284611.17	beam smoke detection sensors	Electronic Safety & Security	28 00 00
284611.19	video smoke detection sensors	284611.19	video smoke detection sensors	Electronic Safety & Security	28 00 00
284611.21	carbon-monoxide detection sensors	284611.21	carbon-monoxide detection sensors	Electronic Safety & Security	28 00 00
284611.23	combination sensors	284611.23	combination sensors	Electronic Safety & Security	28 00 00
284611.25	air sampling systems	284611.25	air sampling systems	Electronic Safety & Security	28 00 00
284611.27	other sensors	284611.27	other sensors	Electronic Safety & Security	28 00 00
284612	other initiating devices	284612	other initiating devices	Electronic Safety & Security	28 00 00
284612.11	fire alarm pull stations	284612.11	fire alarm pull stations	Electronic Safety & Security	28 00 00
284612.13	fire alarm level detector switches	284612.13	fire alarm level detector switches	Electronic Safety & Security	28 00 00
284612.15	fire alarm flow switches	284612.15	fire alarm flow switches	Electronic Safety & Security	28 00 00
284612.17	fire alarm pressure sensors	284612.17	fire alarm pressure sensors	Electronic Safety & Security	28 00 00
284612.19	sprinkler supervisory devices	284612.19	sprinkler supervisory devices	Electronic Safety & Security	28 00 00
284620	fire alarm	284620	fire alarm	Electronic Safety & Security	28 00 00
284621	fire alarm	284621	fire alarm	Electronic Safety & Security	28 00 00
284621.11	addressable fire-alarm systems	284621.11	addressable fire-alarm systems	Electronic Safety & Security	28 00 00
284621.13	conventional fire-alarm systems	284621.13	conventional fire-alarm systems	Electronic Safety & Security	28 00 00
284621.15	protected premise systems	284621.15	protected premise systems	Electronic Safety & Security	28 00 00
284621.17	proprietary systems	284621.17	proprietary systems	Electronic Safety & Security	28 00 00
284621.19	central station systems	284621.19	central station systems	Electronic Safety & Security	28 00 00
284621.21	remote station systems	284621.21	remote station systems	Electronic Safety & Security	28 00 00
284621.23	public emergency alarm reporting systems	284621.23	public emergency alarm reporting systems	Electronic Safety & Security	28 00 00
284622	network command centers, printers and peripherals for fire systems	284622	network command centers, printers and peripherals for fire systems	Electronic Safety & Security	28 00 00
284623	fire alarm notification appliances	284623	fire alarm notification appliances	Electronic Safety & Security	28 00 00
284623.11	fire alarm horns and strobes	284623.11	fire alarm horns and strobes	Electronic Safety & Security	28 00 00
284623.13	fire alarm speakers	284623.13	fire alarm speakers	Electronic Safety & Security	28 00 00
284623.15	fire alarm low frequency sounders	284623.15	fire alarm low frequency sounders	Electronic Safety & Security	28 00 00
284623.17	wide band sounders	284623.17	wide band sounders	Electronic Safety & Security	28 00 00
284624	fire detection and alarm emergency control function interfaces	284624	fire detection and alarm emergency control function interfaces	Electronic Safety & Security	28 00 00
284624.11	fire detection and alarm interfaces to remote monitoring	284624.11	fire detection and alarm interfaces to remote monitoring	Electronic Safety & Security	28 00 00
284624.13	fire detection and alarm interfaces to access control hardware	284624.13	fire detection and alarm interfaces to access control hardware	Electronic Safety & Security	28 00 00
284624.15	fire detection and alarm interfaces to access control system	284624.15	fire detection and alarm interfaces to access control system	Electronic Safety & Security	28 00 00
284624.17	fire detection and alarm interfaces to intrusion detection	284624.17	fire detection and alarm interfaces to intrusion detection	Electronic Safety & Security	28 00 00
284624.19	fire detection and alarm interfaces to video surveillance	284624.19	fire detection and alarm interfaces to video surveillance	Electronic Safety & Security	28 00 00
284624.21	fire detection and alarm interfaces to elevator control	284624.21	fire detection and alarm interfaces to elevator control	Electronic Safety & Security	28 00 00
284624.23	other fire detection and alarm interfaces	284624.23	other fire detection and alarm interfaces	Electronic Safety & Security	28 00 00
284700	mass notification	284700	mass notification	Electronic Safety & Security	28 00 00
284711	general requirements for mass notification	284711	general requirements for mass notification	Electronic Safety & Security	28 00 00
284713	mass notification software	284713	mass notification software	Electronic Safety & Security	28 00 00
284715	mass notification control panels	284715	mass notification control panels	Electronic Safety & Security	28 00 00
284717	notification devices and methods	284717	notification devices and methods	Electronic Safety & Security	28 00 00
284717.11	notification appliances and methods indoors	284717.11	notification appliances and methods indoors	Electronic Safety & Security	28 00 00
284717.13	notification appliances and methods outdoors	284717.13	notification appliances and methods outdoors	Electronic Safety & Security	28 00 00
284717.15	notification appliances and methods distributed recipient	284717.15	notification appliances and methods distributed recipient	Electronic Safety & Security	28 00 00
284717.17	notification appliances and methods public methods	284717.17	notification appliances and methods public methods	Electronic Safety & Security	28 00 00
284721	mass notification system interfaces	284721	mass notification system interfaces	Electronic Safety & Security	28 00 00
284721.11	notification interfaces to access control systems	284721.11	notification interfaces to access control systems	Electronic Safety & Security	28 00 00
284721.13	notification interfaces to video surveillance systems	284721.13	notification interfaces to video surveillance systems	Electronic Safety & Security	28 00 00
284721.15	notification interfaces to security detection, alarm, and monitoring	284721.15	notification interfaces to security detection, alarm, and monitoring	Electronic Safety & Security	28 00 00
284721.17	notification interfaces to security monitoring and control	284721.17	notification interfaces to security monitoring and control	Electronic Safety & Security	28 00 00
284721.19	notification interfaces to life safety systems	284721.19	notification interfaces to life safety systems	Electronic Safety & Security	28 00 00
284721.21	notification interfaces to fire detection and alarm	284721.21	notification interfaces to fire detection and alarm	Electronic Safety & Security	28 00 00
284721.23	notification interfaces to detention systems	284721.23	notification interfaces to detention systems	Electronic Safety & Security	28 00 00
284721.25	notification interfaces to emergency response systems	284721.25	notification interfaces to emergency response systems	Electronic Safety & Security	28 00 00
284721.27	notification interfaces to network and facilities monitoring	284721.27	notification interfaces to network and facilities monitoring	Electronic Safety & Security	28 00 00
284721.29	notification interfaces to web intelligence	284721.29	notification interfaces to web intelligence	Electronic Safety & Security	28 00 00
284721.31	notification interfaces to traffic management and monitoring systems	284721.31	notification interfaces to traffic management and monitoring systems	Electronic Safety & Security	28 00 00
284721.33	notification interfaces to smart phones	284721.33	notification interfaces to smart phones	Electronic Safety & Security	28 00 00
284721.35	notification interfaces to other external subsystems	284721.35	notification interfaces to other external subsystems	Electronic Safety & Security	28 00 00
284800	emergency response systems	284800	emergency response systems	Electronic Safety & Security	28 00 00
284823	computer aided dispatch	284823	computer aided dispatch	Electronic Safety & Security	28 00 00
284900	electronic personal protection systems	284900	electronic personal protection systems	Electronic Safety & Security	28 00 00
284911	electronic personal safety detection systems	284911	electronic personal safety detection systems	Electronic Safety & Security	28 00 00
284913	electronic personal safety alarm annunciation and control systems	284913	electronic personal safety alarm annunciation and control systems	Electronic Safety & Security	28 00 00
284915	electronic personal safety interfaces to remote monitoring	284915	electronic personal safety interfaces to remote monitoring	Electronic Safety & Security	28 00 00
284917	electronic personal safety emergency aid devices	284917	electronic personal safety emergency aid devices	Electronic Safety & Security	28 00 00
285000	specialized systems	285000	specialized systems	Electronic Safety & Security	28 00 00
285100	information management & presentation	285100	information management & presentation	Electronic Safety & Security	28 00 00
285111	information management & presentation architecture	285111	information management & presentation architecture	Electronic Safety & Security	28 00 00
285113	data and information management	285113	data and information management	Electronic Safety & Security	28 00 00
285115	information interfaces to connected subsystems	285115	information interfaces to connected subsystems	Electronic Safety & Security	28 00 00
285115.11	information interfaces to access control systems	285115.11	information interfaces to access control systems	Electronic Safety & Security	28 00 00
285115.13	information interfaces to video surveillance systems	285115.13	information interfaces to video surveillance systems	Electronic Safety & Security	28 00 00
285115.15	information interfaces to security detection, alarm, and monitoring	285115.15	information interfaces to security detection, alarm, and monitoring	Electronic Safety & Security	28 00 00
285115.17	information interfaces to security monitoring and control	285115.17	information interfaces to security monitoring and control	Electronic Safety & Security	28 00 00
285115.19	information interfaces to mass notification systems	285115.19	information interfaces to mass notification systems	Electronic Safety & Security	28 00 00
285115.21	information interfaces to life safety systems	285115.21	information interfaces to life safety systems	Electronic Safety & Security	28 00 00
285115.23	information interfaces to fire detection and alarm	285115.23	information interfaces to fire detection and alarm	Electronic Safety & Security	28 00 00
285115.25	information interfaces to detention systems	285115.25	information interfaces to detention systems	Electronic Safety & Security	28 00 00
285115.27	information interfaces to emergency response systems	285115.27	information interfaces to emergency response systems	Electronic Safety & Security	28 00 00
285115.29	information interfaces to license plate recognition systems	285115.29	information interfaces to license plate recognition systems	Electronic Safety & Security	28 00 00
285115.31	information interfaces to facial recognition systems	285115.31	information interfaces to facial recognition systems	Electronic Safety & Security	28 00 00
285115.33	information interfaces to remote data structures	285115.33	information interfaces to remote data structures	Electronic Safety & Security	28 00 00
285115.35	information interfaces to network and facilities monitoring	285115.35	information interfaces to network and facilities monitoring	Electronic Safety & Security	28 00 00
285115.37	information interfaces to crowd sourcing	285115.37	information interfaces to crowd sourcing	Electronic Safety & Security	28 00 00
285115.39	information interfaces to web intelligence	285115.39	information interfaces to web intelligence	Electronic Safety & Security	28 00 00
285115.41	information interfaces to traffic management and monitoring systems	285115.41	information interfaces to traffic management and monitoring systems	Electronic Safety & Security	28 00 00
285115.43	information interfaces to environmental monitoring systems	285115.43	information interfaces to environmental monitoring systems	Electronic Safety & Security	28 00 00
285115.45	information interfaces to directly connected sensors	285115.45	information interfaces to directly connected sensors	Electronic Safety & Security	28 00 00
285115.47	information interfaces to other safety and security subsystems	285115.47	information interfaces to other safety and security subsystems	Electronic Safety & Security	28 00 00
285115.49	information interfaces to other external subsystems	285115.49	information interfaces to other external subsystems	Electronic Safety & Security	28 00 00
285117	data presentation	285117	data presentation	Electronic Safety & Security	28 00 00
285117.11	maps	285117.11	maps	Electronic Safety & Security	28 00 00
285117.13	visualization	285117.13	visualization	Electronic Safety & Security	28 00 00
285117.15	events/alarms/incidents	285117.15	events/alarms/incidents	Electronic Safety & Security	28 00 00
285117.17	video workspace	285117.17	video workspace	Electronic Safety & Security	28 00 00
285117.19	dispatch/notification	285117.19	dispatch/notification	Electronic Safety & Security	28 00 00
285117.21	review and investigation	285117.21	review and investigation	Electronic Safety & Security	28 00 00
285117.23	reporting	285117.23	reporting	Electronic Safety & Security	28 00 00
285119	control room and monitoring equipment	285119	control room and monitoring equipment	Electronic Safety & Security	28 00 00
285119.11	display/workstations	285119.11	display/workstations	Electronic Safety & Security	28 00 00
285119.13	video walls	285119.13	video walls	Electronic Safety & Security	28 00 00
285119.15	audio equipment	285119.15	audio equipment	Electronic Safety & Security	28 00 00
285119.17	remote displays	285119.17	remote displays	Electronic Safety & Security	28 00 00
285200	detention security systems	285200	detention security systems	Electronic Safety & Security	28 00 00
285211	detention monitoring and control systems	285211	detention monitoring and control systems	Electronic Safety & Security	28 00 00
285213	detention interfaces to connected subsystems	285213	detention interfaces to connected subsystems	Electronic Safety & Security	28 00 00
285213.11	detention interfaces to access control systems	285213.11	detention interfaces to access control systems	Electronic Safety & Security	28 00 00
285213.13	detention interfaces to video surveillance systems	285213.13	detention interfaces to video surveillance systems	Electronic Safety & Security	28 00 00
285213.15	detention interfaces to security detention, alarm, and monitoring	285213.15	detention interfaces to security detention, alarm, and monitoring	Electronic Safety & Security	28 00 00
285213.17	detention interfaces to security monitoring and control	285213.17	detention interfaces to security monitoring and control	Electronic Safety & Security	28 00 00
285213.19	detention interfaces to duress alarm systems	285213.19	detention interfaces to duress alarm systems	Electronic Safety & Security	28 00 00
285213.21	detention interfaces to distributed television systems	285213.21	detention interfaces to distributed television systems	Electronic Safety & Security	28 00 00
285213.23	detention interfaces to perimeter security systems	285213.23	detention interfaces to perimeter security systems	Electronic Safety & Security	28 00 00
285215	video support systems for detention	285215	video support systems for detention	Electronic Safety & Security	28 00 00
285215.11	video interrogation system	285215.11	video interrogation system	Electronic Safety & Security	28 00 00
285215.13	video arraignment system	285215.13	video arraignment system	Electronic Safety & Security	28 00 00
285215.15	video visitation system	285215.15	video visitation system	Electronic Safety & Security	28 00 00
285217	detention communication systems	285217	detention communication systems	Electronic Safety & Security	28 00 00
285217.11	detention interfaces to intercom and paging systems	285217.11	detention interfaces to intercom and paging systems	Electronic Safety & Security	28 00 00
285217.13	detention interfaces to local intercom systems	285217.13	detention interfaces to local intercom systems	Electronic Safety & Security	28 00 00
285217.15	detention interfaces to inmate television systems	285217.15	detention interfaces to inmate television systems	Electronic Safety & Security	28 00 00
285219	detention personal protection systems	285219	detention personal protection systems	Electronic Safety & Security	28 00 00
310000	earthwork	310000	earthwork	Earthwork	31 00 00
310100	maintenance of earthwork	310100	maintenance of earthwork	Earthwork	31 00 00
310110	maintenance of clearing	310110	maintenance of clearing	Earthwork	31 00 00
310120	maintenance of earth moving	310120	maintenance of earth moving	Earthwork	31 00 00
310140	maintenance of shoring and underpinning	310140	maintenance of shoring and underpinning	Earthwork	31 00 00
310150	maintenance of excavation support and protection	310150	maintenance of excavation support and protection	Earthwork	31 00 00
310160	maintenance of special foundations and load bearing elements	310160	maintenance of special foundations and load bearing elements	Earthwork	31 00 00
310162	maintenance of driven piles	310162	maintenance of driven piles	Earthwork	31 00 00
310162.61	driven pile repairs	310162.61	driven pile repairs	Earthwork	31 00 00
310163	maintenance of bored and augered piles	310163	maintenance of bored and augered piles	Earthwork	31 00 00
310163.61	bored and augered pile repairs	310163.61	bored and augered pile repairs	Earthwork	31 00 00
310170	maintenance of tunneling and mining	310170	maintenance of tunneling and mining	Earthwork	31 00 00
310170.61	tunnel leak repairs	310170.61	tunnel leak repairs	Earthwork	31 00 00
310500	common work results for earthwork	310500	common work results for earthwork	Earthwork	31 00 00
310505	selective demolition for earthwork	310505	selective demolition for earthwork	Earthwork	31 00 00
310513	soils for earthwork	310513	soils for earthwork	Earthwork	31 00 00
310516	aggregates for earthwork	310516	aggregates for earthwork	Earthwork	31 00 00
310519	geosynthetics for earthwork	310519	geosynthetics for earthwork	Earthwork	31 00 00
310519.13	geotextiles for earthwork	310519.13	geotextiles for earthwork	Earthwork	31 00 00
310519.16	geomembranes for earthwork	310519.16	geomembranes for earthwork	Earthwork	31 00 00
310519.19	geogrids for earthwork	310519.19	geogrids for earthwork	Earthwork	31 00 00
310519.23	geosynthetic clay liners	310519.23	geosynthetic clay liners	Earthwork	31 00 00
310519.26	geocomposites	310519.26	geocomposites	Earthwork	31 00 00
310519.29	geonets	310519.29	geonets	Earthwork	31 00 00
310523	cement and concrete for earthwork	310523	cement and concrete for earthwork	Earthwork	31 00 00
310600	schedules for earthwork	310600	schedules for earthwork	Earthwork	31 00 00
310610	schedules for clearing	310610	schedules for clearing	Earthwork	31 00 00
310620	schedules for earth moving	310620	schedules for earth moving	Earthwork	31 00 00
310620.13	trench dimension schedule	310620.13	trench dimension schedule	Earthwork	31 00 00
310620.16	backfill material schedule	310620.16	backfill material schedule	Earthwork	31 00 00
310640	schedules for shoring and underpinning	310640	schedules for shoring and underpinning	Earthwork	31 00 00
310650	schedules for excavation support and protection	310650	schedules for excavation support and protection	Earthwork	31 00 00
310660	schedules for special foundations and load bearing elements	310660	schedules for special foundations and load bearing elements	Earthwork	31 00 00
310660.13	driven pile schedule	310660.13	driven pile schedule	Earthwork	31 00 00
310660.16	caisson schedule	310660.16	caisson schedule	Earthwork	31 00 00
310670	schedules for tunneling and mining	310670	schedules for tunneling and mining	Earthwork	31 00 00
310800	commissioning of earthwork	310800	commissioning of earthwork	Earthwork	31 00 00
310813	pile load testing	310813	pile load testing	Earthwork	31 00 00
310813.13	dynamic pile load testing	310813.13	dynamic pile load testing	Earthwork	31 00 00
310813.16	static pile load testing	310813.16	static pile load testing	Earthwork	31 00 00
310900	geotechnical instrumentation and monitoring of earthwork	310900	geotechnical instrumentation and monitoring of earthwork	Earthwork	31 00 00
310913	geotechnical instrumentation and monitoring	310913	geotechnical instrumentation and monitoring	Earthwork	31 00 00
310913.13	groundwater monitoring during construction	310913.13	groundwater monitoring during construction	Earthwork	31 00 00
310916	foundation performance instrumentation	310916	foundation performance instrumentation	Earthwork	31 00 00
310916.26	bored and augered pile load tests	310916.26	bored and augered pile load tests	Earthwork	31 00 00
311000	site clearing	311000	site clearing	Earthwork	31 00 00
311100	clearing and grubbing	311100	clearing and grubbing	Earthwork	31 00 00
311200	selective clearing	311200	selective clearing	Earthwork	31 00 00
311300	selective tree and shrub removal and trimming	311300	selective tree and shrub removal and trimming	Earthwork	31 00 00
311313	selective tree and shrub removal	311313	selective tree and shrub removal	Earthwork	31 00 00
311316	selective tree and shrub trimming	311316	selective tree and shrub trimming	Earthwork	31 00 00
311400	earth stripping and stockpiling	311400	earth stripping and stockpiling	Earthwork	31 00 00
311413	soil stripping and stockpiling	311413	soil stripping and stockpiling	Earthwork	31 00 00
311413.13	soil stripping	311413.13	soil stripping	Earthwork	31 00 00
311413.16	soil stockpiling	311413.16	soil stockpiling	Earthwork	31 00 00
311413.23	topsoil stripping and stockpiling	311413.23	topsoil stripping and stockpiling	Earthwork	31 00 00
311416	sod stripping and stockpiling	311416	sod stripping and stockpiling	Earthwork	31 00 00
311416.13	sod stripping	311416.13	sod stripping	Earthwork	31 00 00
311416.16	sod stockpiling	311416.16	sod stockpiling	Earthwork	31 00 00
312000	earth moving	312000	earth moving	Earthwork	31 00 00
312100	off-gassing mitigation	312100	off-gassing mitigation	Earthwork	31 00 00
312113	radon mitigation	312113	radon mitigation	Earthwork	31 00 00
312113.13	radon venting	312113.13	radon venting	Earthwork	31 00 00
312116	methane mitigation	312116	methane mitigation	Earthwork	31 00 00
312116.13	methane venting	312116.13	methane venting	Earthwork	31 00 00
312200	grading	312200	grading	Earthwork	31 00 00
312213	rough grading	312213	rough grading	Earthwork	31 00 00
312216	fine grading	312216	fine grading	Earthwork	31 00 00
312216.13	roadway subgrade reshaping	312216.13	roadway subgrade reshaping	Earthwork	31 00 00
312219	finish grading	312219	finish grading	Earthwork	31 00 00
312219.13	spreading and grading topsoil	312219.13	spreading and grading topsoil	Earthwork	31 00 00
312300	excavation and fill	312300	excavation and fill	Earthwork	31 00 00
312313	subgrade preparation	312313	subgrade preparation	Earthwork	31 00 00
312316	excavation	312316	excavation	Earthwork	31 00 00
312316.13	trenching	312316.13	trenching	Earthwork	31 00 00
312316.16	structural excavation for minor structures	312316.16	structural excavation for minor structures	Earthwork	31 00 00
312316.26	rock removal	312316.26	rock removal	Earthwork	31 00 00
312319	dewatering	312319	dewatering	Earthwork	31 00 00
312323	fill	312323	fill	Earthwork	31 00 00
312323.13	backfill	312323.13	backfill	Earthwork	31 00 00
312323.23	compaction	312323.23	compaction	Earthwork	31 00 00
312323.33	flowable fill	312323.33	flowable fill	Earthwork	31 00 00
312323.43	geofoam	312323.43	geofoam	Earthwork	31 00 00
312333	trenching and backfilling	312333	trenching and backfilling	Earthwork	31 00 00
312400	embankments	312400	embankments	Earthwork	31 00 00
312413	roadway embankments	312413	roadway embankments	Earthwork	31 00 00
312416	railway embankments	312416	railway embankments	Earthwork	31 00 00
312500	erosion and sedimentation controls	312500	erosion and sedimentation controls	Earthwork	31 00 00
312514	stabilization measures for erosion and sedimentation control	312514	stabilization measures for erosion and sedimentation control	Earthwork	31 00 00
312514.13	hydraulically-applied erosion control	312514.13	hydraulically-applied erosion control	Earthwork	31 00 00
312514.16	rolled erosion control mats and blankets	312514.16	rolled erosion control mats and blankets	Earthwork	31 00 00
312524	structural measures for erosion and sedimentation control	312524	structural measures for erosion and sedimentation control	Earthwork	31 00 00
312524.13	rock barriers	312524.13	rock barriers	Earthwork	31 00 00
312534	retention measures for erosion and sedimentation controls	312534	retention measures for erosion and sedimentation controls	Earthwork	31 00 00
312534.13	rock basins	312534.13	rock basins	Earthwork	31 00 00
313000	earthwork methods	313000	earthwork methods	Earthwork	31 00 00
313100	soil treatment	313100	soil treatment	Earthwork	31 00 00
313113	rodent control	313113	rodent control	Earthwork	31 00 00
313113.16	rodent control bait systems	313113.16	rodent control bait systems	Earthwork	31 00 00
313113.19	rodent control traps	313113.19	rodent control traps	Earthwork	31 00 00
313113.23	rodent control electronic systems	313113.23	rodent control electronic systems	Earthwork	31 00 00
313113.26	rodent control repellants	313113.26	rodent control repellants	Earthwork	31 00 00
313116	termite control	313116	termite control	Earthwork	31 00 00
313116.13	chemical termite control	313116.13	chemical termite control	Earthwork	31 00 00
313116.16	termite control bait systems	313116.16	termite control bait systems	Earthwork	31 00 00
313116.19	termite control barriers	313116.19	termite control barriers	Earthwork	31 00 00
313119	vegetation control	313119	vegetation control	Earthwork	31 00 00
313119.13	chemical vegetation control	313119.13	chemical vegetation control	Earthwork	31 00 00
313133	sanitary vacuum system piping	313133	sanitary vacuum system piping	Earthwork	31 00 00
313200	soil stabilization	313200	soil stabilization	Earthwork	31 00 00
313213	soil mixing stabilization	313213	soil mixing stabilization	Earthwork	31 00 00
313213.13	asphalt soil stabilization	313213.13	asphalt soil stabilization	Earthwork	31 00 00
313213.16	cement soil stabilization	313213.16	cement soil stabilization	Earthwork	31 00 00
313213.19	lime soil stabilization	313213.19	lime soil stabilization	Earthwork	31 00 00
313213.23	fly-ash soil stabilization	313213.23	fly-ash soil stabilization	Earthwork	31 00 00
313213.26	lime-fly-ash soil stabilization	313213.26	lime-fly-ash soil stabilization	Earthwork	31 00 00
313216	chemical treatment soil stabilization	313216	chemical treatment soil stabilization	Earthwork	31 00 00
313216.13	polymer emulsion soil stabilization	313216.13	polymer emulsion soil stabilization	Earthwork	31 00 00
313217	water injection soil stabilization	313217	water injection soil stabilization	Earthwork	31 00 00
313219	geosynthetic soil stabilization and layer separation	313219	geosynthetic soil stabilization and layer separation	Earthwork	31 00 00
313219.13	geogrid soil stabilization	313219.13	geogrid soil stabilization	Earthwork	31 00 00
313219.16	geotextile soil stabilization	313219.16	geotextile soil stabilization	Earthwork	31 00 00
313219.19	geogrid layer separation	313219.19	geogrid layer separation	Earthwork	31 00 00
313219.23	geotextile layer separation	313219.23	geotextile layer separation	Earthwork	31 00 00
313223	pressure grouting soil stabilization	313223	pressure grouting soil stabilization	Earthwork	31 00 00
313223.13	cementitious pressure grouting soil stabilization	313223.13	cementitious pressure grouting soil stabilization	Earthwork	31 00 00
313223.16	chemical pressure grouting soil stabilization	313223.16	chemical pressure grouting soil stabilization	Earthwork	31 00 00
313233	shotcrete soil slope stabilization	313233	shotcrete soil slope stabilization	Earthwork	31 00 00
313236	soil nailing	313236	soil nailing	Earthwork	31 00 00
313236.13	driven soil nailing	313236.13	driven soil nailing	Earthwork	31 00 00
313236.16	grouted soil nailing	313236.16	grouted soil nailing	Earthwork	31 00 00
313236.19	corrosion-protected soil nailing	313236.19	corrosion-protected soil nailing	Earthwork	31 00 00
313236.23	jet-grouted soil nailing	313236.23	jet-grouted soil nailing	Earthwork	31 00 00
313236.26	launched soil nailing	313236.26	launched soil nailing	Earthwork	31 00 00
313300	rock stabilization	313300	rock stabilization	Earthwork	31 00 00
313313	rock bolting and grouting	313313	rock bolting and grouting	Earthwork	31 00 00
313323	rock slope netting	313323	rock slope netting	Earthwork	31 00 00
313326	rock slope wire mesh	313326	rock slope wire mesh	Earthwork	31 00 00
313333	shotcrete rock slope stabilization	313333	shotcrete rock slope stabilization	Earthwork	31 00 00
313343	vegetated rock slope stabilization	313343	vegetated rock slope stabilization	Earthwork	31 00 00
313400	soil reinforcement	313400	soil reinforcement	Earthwork	31 00 00
313419	geosynthetic soil reinforcement	313419	geosynthetic soil reinforcement	Earthwork	31 00 00
313419.13	geogrid soil reinforcement	313419.13	geogrid soil reinforcement	Earthwork	31 00 00
313419.16	geotextile soil reinforcement	313419.16	geotextile soil reinforcement	Earthwork	31 00 00
313423	fiber soil reinforcement	313423	fiber soil reinforcement	Earthwork	31 00 00
