1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
004322	unit prices form	004322	unit prices form	Procurement	00 00 00
004323	alternates form	004323	alternates form	Procurement	00 00 00
004325	substitution request form (during procurement)	004325	substitution request form (during procurement)	Procurement	00 00 00
004326	estimated quantities form	004326	estimated quantities form	Procurement	00 00 00
004327	separate prices break-out form	004327	separate prices break-out form	Procurement	00 00 00
004328	tax rebate form	004328	tax rebate form	Procurement	00 00 00
004333	proposed products form	004333	proposed products form	Procurement	00 00 00
004336	proposed subcontractors form	004336	proposed subcontractors form	Procurement	00 00 00
004339	minority business enterprise statement of intent form	004339	minority business enterprise statement of intent form	Procurement	00 00 00
004343	wage rates form	004343	wage rates form	Procurement	00 00 00
004373	proposed schedule of values form	004373	proposed schedule of values form	Procurement	00 00 00
004383	proposed construction schedule form	004383	proposed construction schedule form	Procurement	00 00 00
004386	proposed work plan schedule form	004386	proposed work plan schedule form	Procurement	00 00 00
004393	bid submittal checklist	004393	bid submittal checklist	Procurement	00 00 00
004500	representations and certifications	004500	representations and certifications	Procurement	00 00 00
004513	bidder's qualifications	004513	bidder's qualifications	Procurement	00 00 00
004516	proposer's qualifications	004516	proposer's qualifications	Procurement	00 00 00
004519	non-collusion affidavit	004519	non-collusion affidavit	Procurement	00 00 00
004523	statement of disposal facility	004523	statement of disposal facility	Procurement	00 00 00
004526	workers compensation certificate schedule	004526	workers compensation certificate schedule	Procurement	00 00 00
004533	non-segregated facilities affidavit	004533	non-segregated facilities affidavit	Procurement	00 00 00
004536	equal employment opportunity affidavit	004536	equal employment opportunity affidavit	Procurement	00 00 00
004539	minority business enterprise affidavit	004539	minority business enterprise affidavit	Procurement	00 00 00
004543	corporate resolutions	004543	corporate resolutions	Procurement	00 00 00
004546	governmental certifications	004546	governmental certifications	Procurement	00 00 00
005000	contracting forms and supplements	005000	contracting forms and supplements	Procurement	00 00 00
005100	notice of award	005100	notice of award	Procurement	00 00 00
005200	agreement forms	005200	agreement forms	Procurement	00 00 00
005213	agreement form - stipulated sum (design/bid/build or design/negotiate/build)	005213	agreement form - stipulated sum (design/bid/build or design/negotiate/build)	Procurement	00 00 00
005214	subcontract form - stipulated sum (design/bid/build or design/negotiate/build)	005214	subcontract form - stipulated sum (design/bid/build or design/negotiate/build)	Procurement	00 00 00
005216	agreement form - cost-plus (design/bid/build or design/negotiate/build)	005216	agreement form - cost-plus (design/bid/build or design/negotiate/build)	Procurement	00 00 00
005217	subcontract form - cost-plus (design/bid/build or design/negotiate/build)	005217	subcontract form - cost-plus (design/bid/build or design/negotiate/build)	Procurement	00 00 00
005223	agreement form - construction manager as agent or advisor - stipulated sum	005223	agreement form - construction manager as agent or advisor - stipulated sum	Procurement	00 00 00
005224	subcontract form - construction manager as agent or adviser - stipulated sum	005224	subcontract form - construction manager as agent or adviser - stipulated sum	Procurement	00 00 00
005226	agreement form - construction manager as agent or adviser - cost-plus	005226	agreement form - construction manager as agent or adviser - cost-plus	Procurement	00 00 00
005227	subcontract form - construction manager as agent or adviser - cost-plus	005227	subcontract form - construction manager as agent or adviser - cost-plus	Procurement	00 00 00
005233	agreement form - construction manager at risk - stipulated sum	005233	agreement form - construction manager at risk - stipulated sum	Procurement	00 00 00
005234	subcontract form - construction manager at risk - stipulated sum	005234	subcontract form - construction manager at risk - stipulated sum	Procurement	00 00 00
005236	agreement form - construction manager at risk - cost-plus	005236	agreement form - construction manager at risk - cost-plus	Procurement	00 00 00
005237	subcontract form - construction manager at risk - cost-plus	005237	subcontract form - construction manager at risk - cost-plus	Procurement	00 00 00
005251	public-private partnership agreement	005251	public-private partnership agreement	Procurement	00 00 00
005252	agreement for preliminary services - owner-design/builder	005252	agreement for preliminary services - owner-design/builder	Procurement	00 00 00
005253	agreement form - owner-design/builder - stipulated sum	005253	agreement form - owner-design/builder - stipulated sum	Procurement	00 00 00
005254	subcontract form - design/build - stipulated sum	005254	subcontract form - design/build - stipulated sum	Procurement	00 00 00
005256	agreement form - owner-design/builder - cost-plus	005256	agreement form - owner-design/builder - cost-plus	Procurement	00 00 00
005257	subcontract form - design/build - cost-plus	005257	subcontract form - design/build - cost-plus	Procurement	00 00 00
005263	agreement form - purchase - stipulated price	005263	agreement form - purchase - stipulated price	Procurement	00 00 00
005273	agreement form - performance contract	005273	agreement form - performance contract	Procurement	00 00 00
005293	multi-party agreement form - integrated project delivery	005293	multi-party agreement form - integrated project delivery	Procurement	00 00 00
005296	agreement between single-purpose entity and owner - integrated project delivery	005296	agreement between single-purpose entity and owner - integrated project delivery	Procurement	00 00 00
005297	agreement between single-purpose entity and non-owner - integrated project delivery	005297	agreement between single-purpose entity and non-owner - integrated project delivery	Procurement	00 00 00
005298	agreement between single-purpose entity and consultant - integrated project delivery	005298	agreement between single-purpose entity and consultant - integrated project delivery	Procurement	00 00 00
005400	agreement form supplements	005400	agreement form supplements	Procurement	00 00 00
005413	supplementary scope statement	005413	supplementary scope statement	Procurement	00 00 00
005421	allowances schedule	005421	allowances schedule	Procurement	00 00 00
005422	unit prices schedule	005422	unit prices schedule	Procurement	00 00 00
005433	digital/electronic data protocol exhibit	005433	digital/electronic data protocol exhibit	Procurement	00 00 00
005436	building information modeling exhibit	005436	building information modeling exhibit	Procurement	00 00 00
005500	notice to proceed	005500	notice to proceed	Procurement	00 00 00
006000	project forms	006000	project forms	Procurement	00 00 00
006100	bond forms	006100	bond forms	Procurement	00 00 00
006113	performance and payment bond form	006113	performance and payment bond form	Procurement	00 00 00
006113.13	performance bond form	006113.13	performance bond form	Procurement	00 00 00
006113.16	payment bond form	006113.16	payment bond form	Procurement	00 00 00
006116	lien bond form	006116	lien bond form	Procurement	00 00 00
006119	maintenance bond form	006119	maintenance bond form	Procurement	00 00 00
006123	retainage bond form	006123	retainage bond form	Procurement	00 00 00
006126	special bond form	006126	special bond form	Procurement	00 00 00
006200	certificates and other forms	006200	certificates and other forms	Procurement	00 00 00
006211	submittal transmittal form	006211	submittal transmittal form	Procurement	00 00 00
006216	certificate of insurance form	006216	certificate of insurance form	Procurement	00 00 00
006219	infection control form	006219	infection control form	Procurement	00 00 00
006223	construction waste diversion form	006223	construction waste diversion form	Procurement	00 00 00
006233	products form	006233	products form	Procurement	00 00 00
006234	recycled content of materials form	006234	recycled content of materials form	Procurement	00 00 00
006239	minority business enterprise certification form	006239	minority business enterprise certification form	Procurement	00 00 00
006273	schedule of values form	006273	schedule of values form	Procurement	00 00 00
006276	application for payment form	006276	application for payment form	Procurement	00 00 00
006276.13	sales tax form	006276.13	sales tax form	Procurement	00 00 00
006276.16	consent of surety to reduction of retainage form	006276.16	consent of surety to reduction of retainage form	Procurement	00 00 00
006279	stored material form	006279	stored material form	Procurement	00 00 00
006283	construction schedule form	006283	construction schedule form	Procurement	00 00 00
006286	work plan schedule form	006286	work plan schedule form	Procurement	00 00 00
006289	construction equipment form	006289	construction equipment form	Procurement	00 00 00
006300	clarification and modification forms	006300	clarification and modification forms	Procurement	00 00 00
006313	request for interpretation form	006313	request for interpretation form	Procurement	00 00 00
006319	clarification form	006319	clarification form	Procurement	00 00 00
006325	substitution request form (during construction)	006325	substitution request form (during construction)	Procurement	00 00 00
006333	supplemental instruction form	006333	supplemental instruction form	Procurement	00 00 00
006336	field order form	006336	field order form	Procurement	00 00 00
006343	written amendment form	006343	written amendment form	Procurement	00 00 00
006346	construction change directive form	006346	construction change directive form	Procurement	00 00 00
006349	work change directive form	006349	work change directive form	Procurement	00 00 00
006353	request for proposal form	006353	request for proposal form	Procurement	00 00 00
006354	proposal worksheet summary form	006354	proposal worksheet summary form	Procurement	00 00 00
006355	proposal worksheet detail form	006355	proposal worksheet detail form	Procurement	00 00 00
006357	change order request form	006357	change order request form	Procurement	00 00 00
006363	change order form	006363	change order form	Procurement	00 00 00
006500	closeout forms	006500	closeout forms	Procurement	00 00 00
006513	certificate of compliance form	006513	certificate of compliance form	Procurement	00 00 00
006516	certificate of substantial completion form	006516	certificate of substantial completion form	Procurement	00 00 00
006519	certificate of completion form	006519	certificate of completion form	Procurement	00 00 00
006519.13	affidavit of payment of debts and claims form	006519.13	affidavit of payment of debts and claims form	Procurement	00 00 00
006519.16	affidavit of release of liens form	006519.16	affidavit of release of liens form	Procurement	00 00 00
006519.19	consent of surety to final payment form	006519.19	consent of surety to final payment form	Procurement	00 00 00
006519.23	acceptance certificate form	006519.23	acceptance certificate form	Procurement	00 00 00
006519.26	final settlement certificate form	006519.26	final settlement certificate form	Procurement	00 00 00
006536	warranty form	006536	warranty form	Procurement	00 00 00
006573	statutory declaration form	006573	statutory declaration form	Procurement	00 00 00
007000	conditions of the contract	007000	conditions of the contract	Procurement	00 00 00
007100	contracting definitions	007100	contracting definitions	Procurement	00 00 00
007200	general conditions	007200	general conditions	Procurement	00 00 00
007213	general conditions - stipulated sum (single-prime contract)	007213	general conditions - stipulated sum (single-prime contract)	Procurement	00 00 00
007216	general conditions - stipulated sum (multiple-prime contract)	007216	general conditions - stipulated sum (multiple-prime contract)	Procurement	00 00 00
007223	general conditions - construction management (single-prime contract)	007223	general conditions - construction management (single-prime contract)	Procurement	00 00 00
007226	general conditions - construction management (multiple-prime contract)	007226	general conditions - construction management (multiple-prime contract)	Procurement	00 00 00
007233	general conditions - cost plus-fee (single-prime contract)	007233	general conditions - cost plus-fee (single-prime contract)	Procurement	00 00 00
007236	general conditions - cost-plus-fee (multiple-prime contract)	007236	general conditions - cost-plus-fee (multiple-prime contract)	Procurement	00 00 00
007243	general conditions - unit price (single-prime contract)	007243	general conditions - unit price (single-prime contract)	Procurement	00 00 00
007246	general conditions - unit price (multiple-prime contract)	007246	general conditions - unit price (multiple-prime contract)	Procurement	00 00 00
007253	general conditions - design/build (single-prime contract)	007253	general conditions - design/build (single-prime contract)	Procurement	00 00 00
